transaction_id,parent,parent_type,child,child_type,rel_type,date,
transaction_id,parent,parent_type,child,child_type,rel_type,date,description
2412/08_tr_132,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,State Fertilizer Company Ltd.,minister,minister,2024-11-25,
2412/08_tr_133,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board),minister,minister,2024-11-25,
2412/08_tr_134,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,National Institute of Post-Harvest Management,minister,minister,2024-11-25,
2412/08_tr_135,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Department of Animal Production and Health,minister,minister,2024-11-25,
2412/08_tr_136,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,National Livestock Development Board and affiliated companies,minister,minister,2024-11-25,
2412/08_tr_137,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Milco (Pvt.) Ltd,minister,minister,2024-11-25,
2412/08_tr_138,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Mahaweli Livestock Enterprise Limited,minister,minister,2024-11-25,
2412/08_tr_139,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Department of Land Commissioner General,minister,minister,2024-11-25,
2412/08_tr_140,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Department of Land Use Policy Planning,minister,minister,2024-11-25,
2412/08_tr_141,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Department of Land Title Settlement,minister,minister,2024-11-25,
2412/08_tr_142,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Land Reform Commission,minister,minister,2024-11-25,
2412/08_tr_143,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Survey Department of Sri Lanka,minister,minister,2024-11-25,
2412/08_tr_144,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Institute of Surveying and Mapping,minister,minister,2024-11-25,
2412/08_tr_145,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Land Survey Council,minister,minister,2024-11-25,
2412/08_tr_146,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Land Acquisition Board of Review,minister,minister,2024-11-25,
2412/08_tr_147,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,Department of Irrigation,minister,minister,2024-11-25,
2412/08_tr_148,"Minister of Agriculture, Livestock, Land, and Irrigation",minister,"Major irrigation development projects including Uma Oya, Moragahakanda, Kalu Ganga, Gin Ganga, Nilwala, Malwathu Oya",minister,minister,2024-11-25,
